Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
dblp,317K_nodes_1M_edges,triangle,3,1,0.0288575,0.0649695,2224385,3.42374e+07,19024,1.00,100.0
dblp,317K_nodes_1M_edges,triangle,3,2,0.0106859,0.0787301,2224385,2.82533e+07,18992,.82,40.0
dblp,317K_nodes_1M_edges,triangle,3,4,0.0114445,0.0985588,2224385,2.25691e+07,18960,.65,10.0
dblp,317K_nodes_1M_edges,triangle,3,8,0.0131735,0.0982013,2224385,2.26513e+07,19040,.66,0
dblp,317K_nodes_1M_edges,triangle,3,16,0.0118572,0.0721131,2224385,3.08458e+07,19040,.90,0
dblp,317K_nodes_1M_edges,4path,4,1,0.00998667,0.0829168,2224385,2.68267e+07,18944,1.00,100.0
dblp,317K_nodes_1M_edges,4path,4,2,0.0111709,0.10933,2224385,2.03457e+07,19024,.75,30.0
dblp,317K_nodes_1M_edges,4path,4,4,0.0109584,0.120842,2224385,1.84074e+07,18976,.68,10.0
dblp,317K_nodes_1M_edges,4path,4,8,0.0105465,0.0940196,2224385,2.36587e+07,18928,.88,10.0
dblp,317K_nodes_1M_edges,4path,4,16,0.0105038,0.103353,2224385,2.15222e+07,18992,.80,0
dblp,317K_nodes_1M_edges,4cycle,4,1,0.0107943,0.0800476,2224385,2.77883e+07,18848,1.00,100.0
dblp,317K_nodes_1M_edges,4cycle,4,2,0.0121582,0.14555,2224385,1.52826e+07,18976,.54,20.0
dblp,317K_nodes_1M_edges,4cycle,4,4,0.011646,0.0942998,2224385,2.35885e+07,19008,.84,20.0
dblp,317K_nodes_1M_edges,4cycle,4,8,0.0103473,0.0890452,2224385,2.49804e+07,18944,.89,10.0
dblp,317K_nodes_1M_edges,4cycle,4,16,0.0144031,0.0842965,2224385,2.63876e+07,19136,.94,0
dblp,317K_nodes_1M_edges,4star,4,1,0.0130669,0.0820758,2224385,2.71016e+07,18960,1.00,100.0
dblp,317K_nodes_1M_edges,4star,4,2,0.013604,0.0845965,2224385,2.62941e+07,19056,.97,40.0
dblp,317K_nodes_1M_edges,4star,4,4,0.011549,0.0725835,2224385,3.06459e+07,18976,1.13,20.0
dblp,317K_nodes_1M_edges,4star,4,8,0.0105797,0.0846079,2224385,2.62905e+07,19040,.97,10.0
dblp,317K_nodes_1M_edges,4star,4,16,0.0122849,0.105032,2224385,2.11782e+07,19072,.78,0
dblp,317K_nodes_1M_edges,4clique,4,1,0.0128708,0.0999212,2224385,2.22614e+07,19072,1.00,100.0
dblp,317K_nodes_1M_edges,4clique,4,2,0.0102561,0.121704,2224385,1.82769e+07,19056,.82,40.0
dblp,317K_nodes_1M_edges,4clique,4,4,0.0109294,0.086631,2224385,2.56765e+07,18864,1.15,20.0
dblp,317K_nodes_1M_edges,4clique,4,8,0.0100666,0.0806427,2224385,2.75832e+07,18976,1.23,10.0
dblp,317K_nodes_1M_edges,4clique,4,16,0.0112199,0.0893587,2224385,2.48928e+07,18976,1.11,0
dblp,317K_nodes_1M_edges,5clique,5,1,0.0111025,0.0645588,2224385,3.44552e+07,18960,1.00,100.0
dblp,317K_nodes_1M_edges,5clique,5,2,0.00998583,0.0705281,2224385,3.1539e+07,19024,.91,40.0
dblp,317K_nodes_1M_edges,5clique,5,4,0.00981833,0.0745335,2224385,2.98441e+07,18928,.86,20.0
dblp,317K_nodes_1M_edges,5clique,5,8,0.0108623,0.0754359,2224385,2.94871e+07,19104,.85,10.0
dblp,317K_nodes_1M_edges,5clique,5,16,0.0118412,0.0811191,2224385,2.74212e+07,19072,.79,0
dblp,317K_nodes_1M_edges,house,4,1,0.0105269,0.076116,2224385,2.92236e+07,18864,1.00,100.0
dblp,317K_nodes_1M_edges,house,4,2,0.0104084,0.0788765,2224385,2.82009e+07,19040,.96,40.0
dblp,317K_nodes_1M_edges,house,4,4,0.0108625,0.0819936,2224385,2.71288e+07,19088,.92,20.0
dblp,317K_nodes_1M_edges,house,4,8,0.0115885,0.0712031,2224385,3.124e+07,18976,1.06,10.0
dblp,317K_nodes_1M_edges,house,4,16,0.0104792,0.0705475,2224385,3.15303e+07,18944,1.07,0
dblp,317K_nodes_1M_edges,diamond,4,1,0.00967179,0.0714885,2224385,3.11153e+07,18928,1.00,100.0
dblp,317K_nodes_1M_edges,diamond,4,2,0.0103543,0.0745786,2224385,2.98261e+07,19024,.95,40.0
dblp,317K_nodes_1M_edges,diamond,4,4,0.0104725,0.0852305,2224385,2.60985e+07,19056,.83,20.0
dblp,317K_nodes_1M_edges,diamond,4,8,0.011574,0.0671711,2224385,3.31152e+07,19008,1.06,10.0
dblp,317K_nodes_1M_edges,diamond,4,16,0.00996283,0.0791615,2224385,2.80993e+07,18976,.90,0
